3,-600.59
24608950,158.64,-600.88
24609648,156.97,-600.88
24610348,155.21,-600.88
24611041,153.90,-600.88
24611734,152.40,-600.88
24612417,150.82,-600.88
24613122,149.15,-600.88
24613815,147.57,-600.88
24614503,146.25,-600.88
24615203,144.58,-600.88
24615895,142.91,-600.88
24616588,141.33,-600.88
24617274,139.92,-600.88
24617967,138.16,-600.88
24618660,136.32,-600.88
24619360,134.74,-600.88
24620060,132.98,-600.88
24620756,131.04,-600.88
24621442,129.20,-600.88
24622148,127.09,-600.88
24622846,124.80,-600.88
24623539,121.90,-600.88
24624235,118.83,-600.88
24624938,116.28,-600.88
24625634,112.76,-600.88
24626327,108.72,-600.88
24627030,104.59,-600.88
24627717,100.37,-600.88
24628408,96.42,-600.88
24629107,91.05,-600.88
24629789,85.96,-600.88
24630479,80.95,-600.88
24631176,76.20,-600.88
24631873,70.14,-600.88
24632560,64.60,-600.88
24633252,59.50,-600.88
24633937,55.02,-600.88
24634636,49.75,-600.88
24635328,45.18,-600.88
24636026,40.96,-600.88
24636713,36.74,-600.88
24637408,33.31,-600.88
24638113,29.88,-600.88
24638793,26.72,-600.88
24639483,23.47,-600.88
24640181,20.92,-600.88
24640878,18.37,-600.88
24641576,15.82,-600.88
24642268,13.45,-600.88
24642961,11.25,-600.88
24643653,9.67,-600.88
24644344,7.73,-600.88
24645042,5.71,-600.88
24645727,3.78,-600.88
24646413,2.29,-600.88
24647111,0.44,-600.88
24647795,358.42,-600.88
24648486,356.48,-600.88
24649184,354.90,-600.88
24649882,352.97,-600.88
24650574,350.95,-600.88
24651267,349.10,-600.88
24651959,347.34,-600.88
24652652,345.76,-599.92
24653343,343.92,-599.92
24654036,342.07,-599.92
24654736,340.40,-599.92
24655416,338.91,-599.92
24656123,336.97,-599.92
24656822,335.13,-599.92
24657515,333.46,-599.92
24658208,331.52,-599.92
24658901,329.77,-599.92
24659595,327.92,-599.92
24660279,326.16,-599.92
24660972,324.23,-599.92
24661664,322.47,-599.92
24662364,320.54,-599.92
24663069,318.69,-599.92
24663763,316.67,-599.92
24664444,314.47,-599.92
24665147,312.80,-599.92
24665834,310.87,-599.92
24666524,308.67,-599.92
24667228,306.39,-599.92
24667914,304.37,-599.92
24668614,302.43,-599.92
24669309,300.06,-599.92
24670014,297.69,-599.92
24670708,295.49,-599.92
24671406,293.12,-599.92
24672106,290.48,-599.92
24672789,288.28,-599.92
24673480,285.82,-599.92
24674174,283.18,-599.92
24674873,280.37,-599.92
24675570,278.00,-599.92
24676265,275.36,-599.92
24676963,272.64,-599.92
24677654,269.65,-599.92
24678347,266.84,-599.92
24679046,264.55,-599.92
24679739,261.65,-599.92
24680426,258.57,-599.92
24681122,255.76,-599.92
24681823,252.95,-599.92
24682508,250.40,-599.92
24683204,247.32,-599.92
24683897,244.42,-599.92
24684590,241.61,-599.92
24685288,238.97,-599.92
24685987,235.81,-599.92
24686692,233.00,-599.92
