ESP-ROM:esp32c3-api1-20210207
.03,0.00
11811998,122.43,0.00
11812676,121.29,0.00
11813358,120.94,0.00
11814047,120.15,0.00
11814726,118.65,0.00
11815409,117.60,0.00
11816103,117.07,0.00
11816780,116.98,0.00
11817467,115.58,0.00
11818157,114.61,0.00
11818844,112.50,0.00
11819532,111.97,0.00
11820216,111.80,0.00
11820894,109.78,0.00
11821582,108.11,0.00
11822260,107.49,0.00
11822945,107.23,0.00
11823622,106.00,0.00
11824299,104.33,0.00
11824976,102.66,0.00
11825655,101.60,0.00
11826339,100.46,0.00
11827035,99.67,0.00
11827710,100.11,0.00
11828394,98.79,0.00
11829092,97.03,0.00
11829772,95.98,0.00
11830461,95.80,0.00
11831149,95.19,0.00
11831832,94.83,0.00
11832515,95.01,0.00
11833200,95.19,0.00
11833881,95.01,0.00
11834557,94.92,0.00
11835240,95.01,0.00
11835917,95.36,0.00
11836600,95.27,0.00
11837278,96.33,0.00
11837960,97.38,0.00
11838643,98.17,0.00
11839327,99.58,0.00
11840004,101.34,0.00
11840696,103.27,0.00
11841373,105.38,0.00
11842057,107.93,0.00
11842739,110.30,0.00
11843426,113.73,0.00
11844116,116.89,0.00
11844794,119.88,0.00
11845483,123.66,0.00
11846172,127.62,0.00
11846854,130.61,0.00
11847532,134.38,0.00
11848216,138.34,0.00
11848894,141.24,0.00
11849578,144.23,0.00
11850262,147.13,0.00
11850940,149.68,0.00
11851624,152.14,0.00
11852301,154.34,0.00
11852989,156.01,0.00
11853666,157.94,0.00
11854351,159.43,0.00
11855040,160.49,0.00
11855713,161.46,0.00
11856410,162.51,0.00
11857103,163.30,0.00
11857786,163.83,0.00
11858473,164.53,0.00
11859162,165.15,0.00
11859849,165.67,0.00
11860527,166.29,0.00
11861211,166.82,0.00
11861895,167.17,0.00
11862584,167.70,0.00
11863261,168.13,0.00
11863945,168.66,0.00
11864629,169.10,0.00
11865311,169.63,0.00
11865989,170.16,0.00
11866666,170.68,0.00
11867357,171.12,0.00
11868049,171.56,0.00
11868727,171.91,0.00
11869412,172.35,0.00
11870110,172.88,0.00
11870794,173.14,0.00
11871477,173.32,0.00
11872167,173.58,0.00
11872856,173.67,0.00
11873539,173.76,0.00
11874226,173.85,0.00
11874910,173.67,0.00
11875599,173.58,0.00
11876277,173.32,0.00
11876960,172.97,0.00
11877644,172.62,0.00
11878335,172.27,0.00
11879017,171.83,0.00
11879697,171.30,0.00
11880380,170.68,0.00
11881070,170.07,0.00
11881747,169.45,0.00
11882432,168.93,0.00
11883126,168.31,0.00
11883811,167.52,0.00
11884500,166.90,0.00
11885182,166.11,0.00
11885875,164.88,0.00
11886558,164.18,0.00
11887236,163.39,0.00
11887914,162.33,0.00
11888606,161.46,0.00
11889290,160.49,0.00
11889971,159.17,0.00
11890659,158.20,0.00
11891349,156.80,0.00
11892036,155.30,0.00
11892708,154.16,0.00
11893398,152.93,0.00
11894085,151.79,0.00
11894775,150.56,0.00
11895464,149.59,0.00
11896152,148.10,0.00
