Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2729735,103.18,0.00
2730416,104.24,0.00
2731105,105.38,0.00
2731789,106.35,0.00
2732477,107.40,0.00
2733166,108.46,0.00
2733849,109.51,0.00
2734541,110.83,0.00
2735229,112.15,0.00
2735918,113.64,0.00
2736599,114.96,0.00
2737282,116.63,0.00
2737959,118.21,0.00
2738637,119.53,0.00
2739308,121.03,0.00
2739984,122.26,0.00
2740674,123.40,0.00
2741356,124.45,0.00
2742050,125.51,0.00
2742727,126.30,0.00
2743405,127.18,0.00
2744088,127.97,0.00
2744767,128.94,0.00
2745444,129.90,0.00
2746138,130.69,0.00
2746816,131.57,0.00
2747499,132.45,0.00
2748186,133.07,0.00
2748873,133.77,0.00
2749556,134.30,0.00
2750232,134.65,0.00
2750916,134.82,0.00
2751593,135.00,0.00
2752275,135.09,0.00
2752963,135.26,0.00
2753652,135.26,0.00
2754337,135.35,0.00
2755032,135.53,0.00
2755709,135.70,0.00
2756392,135.79,0.00
2757090,135.79,0.00
2757768,135.88,0.00
2758457,135.88,0.00
2759151,135.70,0.00
2759833,135.44,0.00
2760521,135.09,0.00
2761204,134.65,0.00
2761887,134.21,0.00
2762573,133.68,0.00
2763262,133.15,0.00
2763938,132.71,0.00
2764621,132.28,0.00
2765298,131.92,0.00
2765981,131.66,0.00
2766667,131.22,0.00
2767344,130.87,0.00
2768039,130.52,0.00
2768716,130.17,0.00
2769400,129.64,0.00
2770090,129.02,0.00
2770767,128.50,0.00
2771450,127.71,0.00
2772142,126.91,0.00
2772826,126.30,0.00
2773508,125.60,0.00
2774187,124.98,0.00
2774860,124.28,0.00
2775550,123.66,0.00
2776227,123.22,0.00
2776905,122.61,0.00
2777582,122.08,0.00
2778259,121.64,0.00
2778930,121.11,0.00
2779613,120.50,0.00
2780300,119.79,0.00
2780984,119.09,0.00
2781670,118.39,0.00
2782352,117.77,0.00
2783042,116.98,0.00
2783719,116.28,0.00
2784408,115.66,0.00
2785085,115.05,0.00
2785764,114.43,0.00
2786447,113.91,0.00
2787140,113.47,0.00
2787827,112.94,0.00
2788510,112.41,0.00
2789187,111.80,0.00
2789869,111.18,0.00
2790547,110.65,0.00
2791224,109.95,0.00
2791902,109.25,0.00
2792590,108.63,0.00
2793279,107.84,0.00
2793962,107.14,0.00
2794659,106.52,0.00
2795337,106.08,0.00
2796034,105.47,0.00
2796707,104.94,0.00
2797393,104.59,0.00
2798076,104.15,0.00
2798756,103.62,0.00
2799433,103.18,0.00
2800117,102.57,0.00
2800799,101.95,0.00
2801486,101.43,0.00
2802174,100.81,0.00
2802863,100.20,0.00
2803543,99.67,0.00
2804220,99.14,0.00
2804903,98.61,0.00
2805579,98.26,0.00
2806262,97.91,0.00
2806941,97.56,0.00
2807618,97.29,0.00
2808294,96.94,0.00
2808971,96.68,0.00
2809663,96.33,0.00
2810340,95.98,0.00
2811028,95.71,0.00
2811710,95.45,0.00
2812399,95.01,0.00
2813088,94.66,0.00
2813767,94.48,0.00
2814443,94.31,0.00
2815140,94.22,0.00
2815823,94.13,0.00
2816506,94.22,0.00
2817177,94.31,0.00
2817859,94.48,0.00
2818541,94.66,0.00
2819223,94.83,0.00
2819911,95.01,0.00
2820595,95.19,0.00
2821282,95.45,0.00
2821970,95.62,0.00
2822658,95.98,0.00
2823335,96.42,0.00
2824028,96.86,0.00
2824699,97.47,0.00
2825381,98.26,0.00
2826057,98.96,0.00
2826728,99.93,0.00
2827412,100.99,0.00
2828096,101.95,0.00
2828774,103.18,0.00
2829457,104.33,0.00
2830147,105.21,0.00
2830830,106.44,0.00
2831518,107.58,0.00
2832189,108.46,0.00
2832872,109.60,0.00
2833548,110.57,0.00
2834230,111.88,0.00
2834914,113.29,0.00
2835597,114.79,0.00
2836281,116.19,0.00
2836963,117.77,0.00
2837662,119.36,0.00
2838344,120.59,0.00
2839040,122.08,0.00
2839716,123.40,0.00
2840404,124.45,0.00
2841099,125.24,0.00
2841777,126.21,0.00
2842454,127.00,0.00
2843147,127.71,0.00
2843824,128.50,0.00
2844507,129.37,0.00
2845178,130.17,0.00
2845856,131.04,0.00
2846544,131.75,0.00
2847230,132.63,0.00
2847913,133.42,0.00
2848596,134.12,0.00
2849279,134.56,0.00
2849950,135.00,0.00
2850634,135.26,0.00
2851311,135.44,0.00
2851999,135.62,0.00
2852681,135.70,0.00
2853358,135.70,0.00
2854050,135.79,0.00
2854721,135.79,0.00
2855406,135.88,0.00
2856099,135.88,0.00
2856776,135.97,0.00
2857447,135.97,0.00
2858136,135.88,0.00
2858819,135.70,0.00
2859507,135.53,0.00
2860182,135.18,0.00
2860865,134.82,0.00
2861542,134.30,0.00
2862224,133.77,0.00
2862912,133.33,0.00
2863601,132.80,0.00
2864283,132.28,0.00
2864966,131.84,0.00
2865659,131.48,0.00
2866342,131.04,0.00
2867030,130.69,0.00
2867701,130.34,0.00
2868379,129.90,0.00
2869061,129.46,0.00
2869732,128.94,0.00
2870417,128.32,0.00
2871101,127.71,0.00
2871773,126.91,0.00
2872451,126.12,0.00
2873145,125.51,0.00
2873823,124.80,0.00
2874511,124.10,0.00
2875185,123.57,0.00
2875867,123.05,0.00
2876553,122.43,0.00
2877236,121.99,0.00
2877919,121.46,0.00
2878601,120.94,0.00
2879290,120.41,0.00
2879978,119.62,0.00
2880667,119.00,0.00
2881348,118.30,0.00
2882042,117.60,0.00
2882724,116.81,0.00
2883408,116.10,0.00
2884099,115.49,0.00
2884783,114.79,0.00
2885472,114.17,0.00
2886161,113.55,0.00
2886844,113.12,0.00
2887527,112.59,0.00
2888211,112.06,0.00
2888891,111.53,0.00
2889579,110.92,0.00
2890268,110.30,0.00
2890942,109.69,0.00
2891619,108.98,0.00
2892303,108.28,0.00
2892985,107.67,0.00
2893674,106.96,0.00
2894352,106.35,0.00
2895041,105.82,0.00
2895712,105.29,0.00
2896402,104.77,0.00
2897079,104.33,0.00
2897765,103.89,0.00
2898436,103.54,0.00
2899119,103.01,0.00
2899802,102.48,0.00
2900486,101.95,0.00
2901163,101.34,0.00
2901847,100.72,0.00
2902530,100.11,0.00
2903219,99.67,0.00
2903899,99.05,0.00
2904586,98.53,0.00
